(10.00Mbit 75ms delay 0.00000% loss) (10.00Mbit 75ms delay 0.00000% loss) (100.00Mbit 1ms delay 2.00000% loss) (100.00Mbit 1ms delay 2.00000% loss) *** Configuring hosts
h1 h2 r1 
[sidecar] Setting congestion control to cubic
[sidecar] tso and gso are OFF
[sidecar] Starting the NGINX/Python webserver on h1...
[sidecar] NOT starting the TCP PEP or sidecar
*** h2 : ('iperf3 -c 10.0.1.10 -t 75 -f m -b 20M -C cubic -i 0.1',)
Connecting to host 10.0.1.10, port 5201
[  5] local 10.0.2.10 port 53822 connected to 10.0.1.10 port 5201
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]   2.20-2.30   sec  0.00 Bytes  0.00 Mbits/sec    3   33.9 KBytes       
[  5]   2.30-2.40   sec  0.00 Bytes  0.00 Mbits/sec    0   33.9 KBytes       
[  5]   2.40-2.50   sec   128 KBytes  10.5 Mbits/sec    0   35.4 KBytes       
[  5]   2.50-2.60   sec  0.00 Bytes  0.00 Mbits/sec    0   35.4 KBytes       
[  5]   2.60-2.70   sec  0.00 Bytes  0.00 Mbits/sec    0   36.8 KBytes       
[  5]   2.70-2.80   sec  0.00 Bytes  0.00 Mbits/sec    1   31.1 KBytes       
[  5]   2.80-2.90   sec  0.00 Bytes  0.00 Mbits/sec    1   25.5 KBytes       
[  5]   2.90-3.00   sec   128 KBytes  10.5 Mbits/sec    0   25.5 KBytes       
[  5]   3.00-3.10   sec  0.00 Bytes  0.00 Mbits/sec    0   26.9 KBytes       
[  5]   3.10-3.20   sec  0.00 Bytes  0.00 Mbits/sec    0   28.3 KBytes       
[  5]   3.20-3.30   sec  0.00 Bytes  0.00 Mbits/sec    0   28.3 KBytes       
[  5]   3.30-3.40   sec  0.00 Bytes  0.00 Mbits/sec    2   19.8 KBytes       
[  5]   3.40-3.50   sec  0.00 Bytes  0.00 Mbits/sec    0   19.8 KBytes       
[  5]   3.50-3.60   sec  0.00 Bytes  0.00 Mbits/sec    0   19.8 KBytes       
[  5]   3.60-3.70   sec  0.00 Bytes  0.00 Mbits/sec    1   15.6 KBytes       
[  5]   3.70-3.80   sec  0.00 Bytes  0.00 Mbits/sec    0   12.7 KBytes       
[  5]   3.80-3.90   sec   128 KBytes  10.5 Mbits/sec    0   14.1 KBytes       
[  5]   3.90-4.00   sec  0.00 Bytes  0.00 Mbits/sec    0   14.1 KBytes       
[  5]   4.00-4.10   sec  0.00 Bytes  0.00 Mbits/sec    0   15.6 KBytes       
[  5]   4.10-4.20   sec  0.00 Bytes  0.00 Mbits/sec    0   15.6 KBytes       
[  5]   4.20-4.30   sec  0.00 Bytes  0.00 Mbits/sec    0   15.6 KBytes       
[  5]   4.30-4.40   sec  0.00 Bytes  0.00 Mbits/sec    1   11.3 KBytes       
[  5]   4.40-4.50   sec  0.00 Bytes  0.00 Mbits/sec    0   9.90 KBytes       
[  5]   4.50-4.60   sec  0.00 Bytes  0.00 Mbits/sec    0   11.3 KBytes       
[  5]   4.60-4.70   sec  0.00 Bytes  0.00 Mbits/sec    0   12.7 KBytes       
[  5]   4.70-4.80   sec  0.00 Bytes  0.00 Mbits/sec    0   12.7 KBytes       
[  5]   4.80-4.90   sec  0.00 Bytes  0.00 Mbits/sec    1   8.48 KBytes       
[  5]   4.90-5.00   sec  0.00 Bytes  0.00 Mbits/sec    0   8.48 KBytes       
[  5]   5.00-5.10   sec  0.00 Bytes  0.00 Mbits/sec    0   9.90 KBytes       
[  5]   5.10-5.20   sec  0.00 Bytes  0.00 Mbits/sec    0   9.90 KBytes       
[  5]   5.20-5.30   sec  0.00 Bytes  0.00 Mbits/sec    0   9.90 KBytes       
[  5]   5.30-5.40   sec  0.00 Bytes  0.00 Mbits/sec    0   9.90 KBytes       
[  5]   5.40-5.50   sec  0.00 Bytes  0.00 Mbits/sec    0   9.90 KBytes       
[  5]   5.50-5.60   sec   128 KBytes  10.5 Mbits/sec    0   11.3 KBytes       
[  5]   5.60-5.70   sec  0.00 Bytes  0.00 Mbits/sec    0   11.3 KBytes       
[  5]   5.70-5.80   sec  0.00 Bytes  0.00 Mbits/sec    0   11.3 KBytes       
[  5]   5.80-5.90   sec  0.00 Bytes  0.00 Mbits/sec    0   12.7 KBytes       
[  5]   5.90-6.00   sec  0.00 Bytes  0.00 Mbits/sec    0   12.7 KBytes       
[  5]   6.00-6.10   sec  0.00 Bytes  0.00 Mbits/sec    0   12.7 KBytes       
[  5]   6.10-6.20   sec  0.00 Bytes  0.00 Mbits/sec    2   8.48 KBytes       
[  5]   6.20-6.30   sec  0.00 Bytes  0.00 Mbits/sec    0   8.48 KBytes       
[  5]   6.30-6.40   sec  0.00 Bytes  0.00 Mbits/sec    0   8.48 KBytes       
[  5]   6.40-6.50   sec  0.00 Bytes  0.00 Mbits/sec    0   9.90 KBytes       
[  5]   6.50-6.60   sec  0.00 Bytes  0.00 Mbits/sec    0   9.90 KBytes       
[  5]   6.60-6.70   sec  0.00 Bytes  0.00 Mbits/sec    0   11.3 KBytes       
[  5]   6.70-6.80   sec  0.00 Bytes  0.00 Mbits/sec    0   12.7 KBytes       
[  5]   6.80-6.90   sec  0.00 Bytes  0.00 Mbits/sec    0   12.7 KBytes       
[  5]   6.90-7.00   sec  0.00 Bytes  0.00 Mbits/sec    0   12.7 KBytes       
[  5]   7.00-7.10   sec  0.00 Bytes  0.00 Mbits/sec    0   12.7 KBytes       
[  5]   7.10-7.20   sec  0.00 Bytes  0.00 Mbits/sec    0   12.7 KBytes       
[  5]   7.20-7.30   sec  0.00 Bytes  0.00 Mbits/sec    0   12.7 KBytes       
[  5]   7.30-7.40   sec   128 KBytes  10.5 Mbits/sec    0   12.7 KBytes       
[  5]   7.40-7.50   sec  0.00 Bytes  0.00 Mbits/sec    0   12.7 KBytes       
[  5]   7.50-7.60   sec  0.00 Bytes  0.00 Mbits/sec    0   12.7 KBytes       
[  5]   7.60-7.70   sec  0.00 Bytes  0.00 Mbits/sec    0   14.1 KBytes       
[  5]   7.70-7.80   sec  0.00 Bytes  0.00 Mbits/sec    0   14.1 KBytes       
[  5]   7.80-7.90   sec  0.00 Bytes  0.00 Mbits/sec    0   14.1 KBytes       
[  5]   7.90-8.00   sec  0.00 Bytes  0.00 Mbits/sec    0   15.6 KBytes       
[  5]   8.00-8.10   sec  0.00 Bytes  0.00 Mbits/sec    0   15.6 KBytes       
[  5]   8.10-8.20   sec  0.00 Bytes  0.00 Mbits/sec    0   15.6 KBytes       
[  5]   8.20-8.30   sec  0.00 Bytes  0.00 Mbits/sec    0   15.6 KBytes       
[  5]   8.30-8.40   sec  0.00 Bytes  0.00 Mbits/sec    0   17.0 KBytes       
[  5]   8.40-8.50   sec  0.00 Bytes  0.00 Mbits/sec    0   17.0 KBytes       
[  5]   8.50-8.60   sec  0.00 Bytes  0.00 Mbits/sec    0   17.0 KBytes       
[  5]   8.60-8.70   sec  0.00 Bytes  0.00 Mbits/sec    0   18.4 KBytes       
[  5]   8.70-8.80   sec  0.00 Bytes  0.00 Mbits/sec    0   18.4 KBytes       
[  5]   8.80-8.90   sec  0.00 Bytes  0.00 Mbits/sec    2   12.7 KBytes       
[  5]   8.90-9.00   sec   128 KBytes  10.5 Mbits/sec    0   12.7 KBytes       
[  5]   9.00-9.10   sec  0.00 Bytes  0.00 Mbits/sec    0   14.1 KBytes       
[  5]   9.10-9.20   sec  0.00 Bytes  0.00 Mbits/sec    0   14.1 KBytes       
[  5]   9.20-9.30   sec  0.00 Bytes  0.00 Mbits/sec    0   15.6 KBytes       
[  5]   9.30-9.40   sec  0.00 Bytes  0.00 Mbits/sec    0   17.0 KBytes       
[  5]   9.40-9.50   sec  0.00 Bytes  0.00 Mbits/sec    0   17.0 KBytes       
[  5]   9.50-9.60   sec  0.00 Bytes  0.00 Mbits/sec    0   17.0 KBytes       
[  5]   9.60-9.70   sec  0.00 Bytes  0.00 Mbits/sec    0   18.4 KBytes       
[  5]   9.70-9.80   sec  0.00 Bytes  0.00 Mbits/sec    0   18.4 KBytes       
[  5]   9.80-9.90   sec  0.00 Bytes  0.00 Mbits/sec    1   15.6 KBytes       
[  5]   9.90-10.00  sec  0.00 Bytes  0.00 Mbits/sec    1   12.7 KBytes       
[  5]  10.00-10.10  sec  0.00 Bytes  0.00 Mbits/sec    0   12.7 KBytes       
[  5]  10.10-10.20  sec  0.00 Bytes  0.00 Mbits/sec    0   14.1 KBytes       
[  5]  10.20-10.30  sec   128 KBytes  10.5 Mbits/sec    0   15.6 KBytes       
[  5]  10.30-10.40  sec  0.00 Bytes  0.00 Mbits/sec    2   9.90 KBytes       
[  5]  10.40-10.50  sec  0.00 Bytes  0.00 Mbits/sec    0   9.90 KBytes       
[  5]  10.50-10.60  sec  0.00 Bytes  0.00 Mbits/sec    0   9.90 KBytes       
[  5]  10.60-10.70  sec  0.00 Bytes  0.00 Mbits/sec    0   9.90 KBytes       
[  5]  10.70-10.80  sec  0.00 Bytes  0.00 Mbits/sec    0   14.1 KBytes       
[  5]  10.80-10.90  sec  0.00 Bytes  0.00 Mbits/sec    0   14.1 KBytes       
[  5]  10.90-11.00  sec  0.00 Bytes  0.00 Mbits/sec    1   12.7 KBytes       
[  5]  11.00-11.10  sec  0.00 Bytes  0.00 Mbits/sec    1   9.90 KBytes       
[  5]  11.10-11.20  sec  0.00 Bytes  0.00 Mbits/sec    0   9.90 KBytes       
[  5]  11.20-11.30  sec  0.00 Bytes  0.00 Mbits/sec    2   8.48 KBytes       
[  5]  11.30-11.40  sec  0.00 Bytes  0.00 Mbits/sec    0   7.07 KBytes       
[  5]  11.40-11.50  sec  0.00 Bytes  0.00 Mbits/sec    0   5.66 KBytes       
[  5]  11.50-11.60  sec  0.00 Bytes  0.00 Mbits/sec    0   5.66 KBytes       
[  5]  11.60-11.70  sec  0.00 Bytes  0.00 Mbits/sec    0   7.07 KBytes       
[  5]  11.70-11.80  sec  0.00 Bytes  0.00 Mbits/sec    0   7.07 KBytes       
[  5]  11.80-11.90  sec  0.00 Bytes  0.00 Mbits/sec    0   7.07 KBytes       
[  5]  11.90-12.00  sec  0.00 Bytes  0.00 Mbits/sec    0   7.07 KBytes       
[  5]  12.00-12.10  sec  0.00 Bytes  0.00 Mbits/sec    0   7.07 KBytes       
[  5]  12.10-12.20  sec  0.00 Bytes  0.00 Mbits/sec    0   7.07 KBytes       
[  5]  12.20-12.30  sec  0.00 Bytes  0.00 Mbits/sec    1   7.07 KBytes       
[  5]  12.30-12.40  sec  0.00 Bytes  0.00 Mbits/sec    1   5.66 KBytes       
[  5]  12.40-12.50  sec  0.00 Bytes  0.00 Mbits/sec    1   2.83 KBytes       
[  5]  12.50-12.60  sec  0.00 Bytes  0.00 Mbits/sec    1   5.66 KBytes       
[  5]  12.60-12.70  sec  0.00 Bytes  0.00 Mbits/sec    0   5.66 KBytes       
[  5]  12.70-12.80  sec  0.00 Bytes  0.00 Mbits/sec    0   5.66 KBytes       
[  5]  12.80-12.90  sec  0.00 Bytes  0.00 Mbits/sec    0   7.07 KBytes       
[  5]  12.90-13.00  sec   128 KBytes  10.5 Mbits/sec    0   8.48 KBytes       
[  5]  13.00-13.10  sec  0.00 Bytes  0.00 Mbits/sec    0   8.48 KBytes       
[  5]  13.10-13.20  sec  0.00 Bytes  0.00 Mbits/sec    0   8.48 KBytes       
[  5]  13.20-13.30  sec  0.00 Bytes  0.00 Mbits/sec    0   8.48 KBytes       
[  5]  13.30-13.40  sec  0.00 Bytes  0.00 Mbits/sec    1   5.66 KBytes       
[  5]  13.40-13.50  sec  0.00 Bytes  0.00 Mbits/sec    1   5.66 KBytes       
[  5]  13.50-13.60  sec  0.00 Bytes  0.00 Mbits/sec    0   5.66 KBytes       
[  5]  13.60-13.70  sec  0.00 Bytes  0.00 Mbits/sec    0   7.07 KBytes       
[  5]  13.70-13.80  sec  0.00 Bytes  0.00 Mbits/sec    0   7.07 KBytes       
[  5]  13.80-13.90  sec  0.00 Bytes  0.00 Mbits/sec    0   8.48 KBytes       
[  5]  13.90-14.00  sec  0.00 Bytes  0.00 Mbits/sec    0   8.48 KBytes       
[  5]  14.00-14.10  sec  0.00 Bytes  0.00 Mbits/sec    0   8.48 KBytes       
[  5]  14.10-14.20  sec  0.00 Bytes  0.00 Mbits/sec    0   8.48 KBytes       
[  5]  14.20-14.30  sec  0.00 Bytes  0.00 Mbits/sec    0   8.48 KBytes       
[  5]  14.30-14.40  sec  0.00 Bytes  0.00 Mbits/sec    0   8.48 KBytes       
[  5]  14.40-14.50  sec  0.00 Bytes  0.00 Mbits/sec    0   8.48 KBytes       
[  5]  14.50-14.60  sec  0.00 Bytes  0.00 Mbits/sec    2   5.66 KBytes       
[  5]  14.60-14.70  sec  0.00 Bytes  0.00 Mbits/sec    0   5.66 KBytes       
[  5]  14.70-14.80  sec  0.00 Bytes  0.00 Mbits/sec    0   5.66 KBytes       
[  5]  14.80-14.90  sec  0.00 Bytes  0.00 Mbits/sec    0   7.07 KBytes       
[  5]  14.90-15.00  sec  0.00 Bytes  0.00 Mbits/sec    0   7.07 KBytes       
[  5]  15.00-15.10  sec  0.00 Bytes  0.00 Mbits/sec    0   8.48 KBytes       
[  5]  15.10-15.20  sec  0.00 Bytes  0.00 Mbits/sec    0   8.48 KBytes       
[  5]  15.20-15.30  sec  0.00 Bytes  0.00 Mbits/sec    0   8.48 KBytes       
[  5]  15.30-15.40  sec  0.00 Bytes  0.00 Mbits/sec    0   8.48 KBytes       
[  5]  15.40-15.50  sec  0.00 Bytes  0.00 Mbits/sec    0   8.48 KBytes       
[  5]  15.50-15.60  sec  0.00 Bytes  0.00 Mbits/sec    0   8.48 KBytes       
[  5]  15.60-15.70  sec  0.00 Bytes  0.00 Mbits/sec    0   8.48 KBytes       
[  5]  15.70-15.80  sec   128 KBytes  10.5 Mbits/sec    0   9.90 KBytes       
[  5]  15.80-15.90  sec  0.00 Bytes  0.00 Mbits/sec    0   9.90 KBytes       
[  5]  15.90-16.00  sec  0.00 Bytes  0.00 Mbits/sec    2   5.66 KBytes       
[  5]  16.00-16.10  sec  0.00 Bytes  0.00 Mbits/sec    0   5.66 KBytes       
[  5]  16.10-16.20  sec  0.00 Bytes  0.00 Mbits/sec    0   5.66 KBytes       
[  5]  16.20-16.30  sec  0.00 Bytes  0.00 Mbits/sec    0   9.90 KBytes       
[  5]  16.30-16.40  sec  0.00 Bytes  0.00 Mbits/sec    0   9.90 KBytes       
[  5]  16.40-16.50  sec  0.00 Bytes  0.00 Mbits/sec    0   9.90 KBytes       
[  5]  16.50-16.60  sec  0.00 Bytes  0.00 Mbits/sec    0   9.90 KBytes       
[  5]  16.60-16.70  sec  0.00 Bytes  0.00 Mbits/sec    0   9.90 KBytes       
[  5]  16.70-16.80  sec  0.00 Bytes  0.00 Mbits/sec    0   9.90 KBytes       
[  5]  16.80-16.90  sec  0.00 Bytes  0.00 Mbits/sec    0   9.90 KBytes       
[  5]  16.90-17.00  sec  0.00 Bytes  0.00 Mbits/sec    0   9.90 KBytes       
[  5]  17.00-17.10  sec  0.00 Bytes  0.00 Mbits/sec    0   9.90 KBytes       
[  5]  17.10-17.20  sec  0.00 Bytes  0.00 Mbits/sec    2   5.66 KBytes       
[  5]  17.20-17.30  sec  0.00 Bytes  0.00 Mbits/sec    0   5.66 KBytes       
[  5]  17.30-17.40  sec  0.00 Bytes  0.00 Mbits/sec    1   4.24 KBytes       
[  5]  17.40-17.50  sec  0.00 Bytes  0.00 Mbits/sec    0   5.66 KBytes       
[  5]  17.50-17.60  sec  0.00 Bytes  0.00 Mbits/sec    0   5.66 KBytes       
[  5]  17.60-17.70  sec  0.00 Bytes  0.00 Mbits/sec    0   8.48 KBytes       
[  5]  17.70-17.80  sec  0.00 Bytes  0.00 Mbits/sec    0   8.48 KBytes       
[  5]  17.80-17.90  sec  0.00 Bytes  0.00 Mbits/sec    0   8.48 KBytes       
[  5]  17.90-18.00  sec  0.00 Bytes  0.00 Mbits/sec    0   9.90 KBytes       
[  5]  18.00-18.10  sec  0.00 Bytes  0.00 Mbits/sec    0   9.90 KBytes       
[  5]  18.10-18.20  sec  0.00 Bytes  0.00 Mbits/sec    0   9.90 KBytes       
[  5]  18.20-18.30  sec  0.00 Bytes  0.00 Mbits/sec    0   9.90 KBytes       
[  5]  18.30-18.40  sec  0.00 Bytes  0.00 Mbits/sec    0   9.90 KBytes       
[  5]  18.40-18.50  sec  0.00 Bytes  0.00 Mbits/sec    0   9.90 KBytes       
[  5]  18.50-18.60  sec   128 KBytes  10.5 Mbits/sec    0   9.90 KBytes       
[  5]  18.60-18.70  sec  0.00 Bytes  0.00 Mbits/sec    0   9.90 KBytes       
[  5]  18.70-18.80  sec  0.00 Bytes  0.00 Mbits/sec    0   9.90 KBytes       
[  5]  18.80-18.90  sec  0.00 Bytes  0.00 Mbits/sec    0   11.3 KBytes       
[  5]  18.90-19.00  sec  0.00 Bytes  0.00 Mbits/sec    0   11.3 KBytes       
[  5]  19.00-19.10  sec  0.00 Bytes  0.00 Mbits/sec    0   11.3 KBytes       
[  5]  19.10-19.20  sec  0.00 Bytes  0.00 Mbits/sec    0   12.7 KBytes       
[  5]  19.20-19.30  sec  0.00 Bytes  0.00 Mbits/sec    0   12.7 KBytes       
[  5]  19.30-19.40  sec  0.00 Bytes  0.00 Mbits/sec    0   14.1 KBytes       
[  5]  19.40-19.50  sec  0.00 Bytes  0.00 Mbits/sec    0   14.1 KBytes       
[  5]  19.50-19.60  sec  0.00 Bytes  0.00 Mbits/sec    0   14.1 KBytes       
[  5]  19.60-19.70  sec  0.00 Bytes  0.00 Mbits/sec    0   14.1 KBytes       
[  5]  19.70-19.80  sec  0.00 Bytes  0.00 Mbits/sec    2   9.90 KBytes       
[  5]  19.80-19.90  sec  0.00 Bytes  0.00 Mbits/sec    0   9.90 KBytes       
[  5]  19.90-20.00  sec  0.00 Bytes  0.00 Mbits/sec    0   9.90 KBytes       
[  5]  20.00-20.10  sec  0.00 Bytes  0.00 Mbits/sec    0   11.3 KBytes       
[  5]  20.10-20.20  sec  0.00 Bytes  0.00 Mbits/sec    0   11.3 KBytes       
[  5]  20.20-20.30  sec  0.00 Bytes  0.00 Mbits/sec    0   12.7 KBytes       
[  5]  20.30-20.40  sec   128 KBytes  10.5 Mbits/sec    0   14.1 KBytes       
[  5]  20.40-20.50  sec  0.00 Bytes  0.00 Mbits/sec    0   14.1 KBytes       
[  5]  20.50-20.60  sec  0.00 Bytes  0.00 Mbits/sec    0   14.1 KBytes       
[  5]  20.60-20.70  sec  0.00 Bytes  0.00 Mbits/sec    0   14.1 KBytes       
[  5]  20.70-20.80  sec  0.00 Bytes  0.00 Mbits/sec    0   14.1 KBytes       
[  5]  20.80-20.90  sec  0.00 Bytes  0.00 Mbits/sec    0   14.1 KBytes       
[  5]  20.90-21.00  sec  0.00 Bytes  0.00 Mbits/sec    2   9.90 KBytes       
[  5]  21.00-21.10  sec  0.00 Bytes  0.00 Mbits/sec    0   9.90 KBytes       
[  5]  21.10-21.20  sec  0.00 Bytes  0.00 Mbits/sec    0   9.90 KBytes       
[  5]  21.20-21.30  sec  0.00 Bytes  0.00 Mbits/sec    2   4.24 KBytes       
[  5]  21.30-21.40  sec  0.00 Bytes  0.00 Mbits/sec    1   4.24 KBytes       
[  5]  21.40-21.50  sec  0.00 Bytes  0.00 Mbits/sec    0   5.66 KBytes       
[  5]  21.50-21.60  sec  0.00 Bytes  0.00 Mbits/sec    0   5.66 KBytes       
[  5]  21.60-21.70  sec  0.00 Bytes  0.00 Mbits/sec    0   5.66 KBytes       
[  5]  21.70-21.80  sec  0.00 Bytes  0.00 Mbits/sec    0   7.07 KBytes       
[  5]  21.80-21.90  sec  0.00 Bytes  0.00 Mbits/sec    0   7.07 KBytes       
[  5]  21.90-22.00  sec  0.00 Bytes  0.00 Mbits/sec    0   7.07 KBytes       
[  5]  22.00-22.10  sec  0.00 Bytes  0.00 Mbits/sec    0   7.07 KBytes       
[  5]  22.10-22.20  sec  0.00 Bytes  0.00 Mbits/sec    0   9.90 KBytes       
[  5]  22.20-22.30  sec  0.00 Bytes  0.00 Mbits/sec    0   9.90 KBytes       
[  5]  22.30-22.40  sec  0.00 Bytes  0.00 Mbits/sec    0   9.90 KBytes       
[  5]  22.40-22.50  sec  0.00 Bytes  0.00 Mbits/sec    0   9.90 KBytes       
[  5]  22.50-22.60  sec   128 KBytes  10.5 Mbits/sec    0   9.90 KBytes       
[  5]  22.60-22.70  sec  0.00 Bytes  0.00 Mbits/sec    0   9.90 KBytes       
[  5]  22.70-22.80  sec  0.00 Bytes  0.00 Mbits/sec    0   9.90 KBytes       
[  5]  22.80-22.90  sec  0.00 Bytes  0.00 Mbits/sec    0   9.90 KBytes       
[  5]  22.90-23.00  sec  0.00 Bytes  0.00 Mbits/sec    0   11.3 KBytes       
[  5]  23.00-23.10  sec  0.00 Bytes  0.00 Mbits/sec    0   11.3 KBytes       
[  5]  23.10-23.20  sec  0.00 Bytes  0.00 Mbits/sec    0   11.3 KBytes       
[  5]  23.20-23.30  sec  0.00 Bytes  0.00 Mbits/sec    0   12.7 KBytes       
[  5]  23.30-23.40  sec  0.00 Bytes  0.00 Mbits/sec    0   12.7 KBytes       
[  5]  23.40-23.50  sec  0.00 Bytes  0.00 Mbits/sec    0   14.1 KBytes       
[  5]  23.50-23.60  sec  0.00 Bytes  0.00 Mbits/sec    0   14.1 KBytes       
[  5]  23.60-23.70  sec  0.00 Bytes  0.00 Mbits/sec    0   14.1 KBytes       
[  5]  23.70-23.80  sec  0.00 Bytes  0.00 Mbits/sec    2   9.90 KBytes       
[  5]  23.80-23.90  sec  0.00 Bytes  0.00 Mbits/sec    0   9.90 KBytes       
[  5]  23.90-24.00  sec  0.00 Bytes  0.00 Mbits/sec    0   9.90 KBytes       
[  5]  24.00-24.10  sec  0.00 Bytes  0.00 Mbits/sec    0   12.7 KBytes       
[  5]  24.10-24.20  sec  0.00 Bytes  0.00 Mbits/sec    0   12.7 KBytes       
[  5]  24.20-24.30  sec  0.00 Bytes  0.00 Mbits/sec    0   12.7 KBytes       
[  5]  24.30-24.40  sec   128 KBytes  10.5 Mbits/sec    0   14.1 KBytes       
[  5]  24.40-24.50  sec  0.00 Bytes  0.00 Mbits/sec    0   14.1 KBytes       
[  5]  24.50-24.60  sec  0.00 Bytes  0.00 Mbits/sec    0   14.1 KBytes       
[  5]  24.60-24.70  sec  0.00 Bytes  0.00 Mbits/sec    0   14.1 KBytes       
[  5]  24.70-24.80  sec  0.00 Bytes  0.00 Mbits/sec    0   14.1 KBytes       
[  5]  24.80-24.90  sec  0.00 Bytes  0.00 Mbits/sec    1   9.90 KBytes       
[  5]  24.90-25.00  sec  0.00 Bytes  0.00 Mbits/sec    1   9.90 KBytes       
[  5]  25.00-25.10  sec  0.00 Bytes  0.00 Mbits/sec    0   9.90 KBytes       
[  5]  25.10-25.20  sec  0.00 Bytes  0.00 Mbits/sec    0   9.90 KBytes       
[  5]  25.20-25.30  sec  0.00 Bytes  0.00 Mbits/sec    0   11.3 KBytes       
[  5]  25.30-25.40  sec  0.00 Bytes  0.00 Mbits/sec    0   12.7 KBytes       
[  5]  25.40-25.50  sec  0.00 Bytes  0.00 Mbits/sec    0   12.7 KBytes       
[  5]  25.50-25.60  sec  0.00 Bytes  0.00 Mbits/sec    0   14.1 KBytes       
[  5]  25.60-25.70  sec  0.00 Bytes  0.00 Mbits/sec    0   14.1 KBytes       
[  5]  25.70-25.80  sec  0.00 Bytes  0.00 Mbits/sec    0   14.1 KBytes       
[  5]  25.80-25.90  sec  0.00 Bytes  0.00 Mbits/sec    2   9.90 KBytes       
[  5]  25.90-26.00  sec  0.00 Bytes  0.00 Mbits/sec    0   9.90 KBytes       
[  5]  26.00-26.10  sec  0.00 Bytes  0.00 Mbits/sec    0   9.90 KBytes       
[  5]  26.10-26.20  sec   128 KBytes  10.5 Mbits/sec    0   11.3 KBytes       
[  5]  26.20-26.30  sec  0.00 Bytes  0.00 Mbits/sec    0   12.7 KBytes       
[  5]  26.30-26.40  sec  0.00 Bytes  0.00 Mbits/sec    0   12.7 KBytes       
[  5]  26.40-26.50  sec  0.00 Bytes  0.00 Mbits/sec    0   14.1 KBytes       
[  5]  26.50-26.60  sec  0.00 Bytes  0.00 Mbits/sec    0   14.1 KBytes       
[  5]  26.60-26.70  sec  0.00 Bytes  0.00 Mbits/sec    0   14.1 KBytes       
[  5]  26.70-26.80  sec  0.00 Bytes  0.00 Mbits/sec    0   14.1 KBytes       
[  5]  26.80-26.90  sec  0.00 Bytes  0.00 Mbits/sec    0   14.1 KBytes       
[  5]  26.90-27.00  sec  0.00 Bytes  0.00 Mbits/sec    0   14.1 KBytes       
[  5]  27.00-27.10  sec  0.00 Bytes  0.00 Mbits/sec    0   14.1 KBytes       
[  5]  27.10-27.20  sec  0.00 Bytes  0.00 Mbits/sec    0   14.1 KBytes       
[  5]  27.20-27.30  sec  0.00 Bytes  0.00 Mbits/sec    0   15.6 KBytes       
